pcn_code,Cegedim,EMIS,TPP,Unknown,sub_ICB
U14074,0,4,0,0,D4U1Y
U14261,0,0,1,0,11J
U14327,0,11,0,0,00Y
U14482,0,0,10,0,W2U3Z
U14615,0,0,3,0,84H
U14646,0,7,0,0,00P
U14694,0,5,0,0,D4U1Y
U14816,0,3,1,0,70F
U14878,0,3,0,0,27D
U14922,0,3,0,0,B2M3M
U15138,0,0,5,0,06K
U15164,0,5,0,0,D9Y0V
U15230,0,2,0,0,10Q
U15334,0,4,0,0,93C
U15435,0,3,0,0,01W
U15488,0,0,4,0,99E
U15552,0,8,0,0,15E
U15644,0,0,3,0,M1J4Y
U15646,0,0,8,0,26A
U15814,0,1,0,0,D9Y0V
U16004,0,0,3,0,06H
U16083,0,0,5,0,W2U3Z
U16196,0,0,9,0,11M
U16318,0,5,0,0,04Y
U16338,0,1,4,0,11M
U16428,0,6,0,0,01D
U16446,0,3,1,0,07H
U16464,1,14,16,0,02P
U16538,0,0,3,0,03H
U16600,0,4,0,0,15C
U16644,0,1,0,0,01K
U16737,0,0,4,0,11J
U16816,0,0,1,0,11M
U16878,0,0,4,0,15F
U16983,0,3,0,0,15A
U17012,0,1,8,0,71E
U17022,0,0,4,0,36J
U17081,0,2,1,0,D9Y0V
U17084,0,5,0,0,A3A8R
U17153,0,5,0,0,11X
U17156,0,7,0,0,00Y
U17168,0,0,8,0,15M
U17435,0,0,4,0,71E
U17794,0,0,9,0,99G
U17834,0,3,0,0,91Q
U17849,0,3,4,0,13T
U17969,0,3,0,0,D4U1Y
U17992,0,8,0,0,01K
U18020,0,5,0,0,D2P2L
U18195,0,4,3,0,15E
U18267,0,0,5,0,52R
U18315,0,2,0,0,72Q
U18398,0,0,5,0,W2U3Z
U18460,0,15,0,0,01V
U18494,0,0,2,0,D9Y0V
U18888,0,2,0,0,06N
U18986,0,0,5,0,D9Y0V
U18990,0,0,6,0,06Q
U19031,0,2,4,0,78H
U19124,0,0,2,0,10R
U19152,0,1,3,0,06K
U19169,0,0,5,0,52R
U19348,0,6,0,0,D2P2L
U19424,0,5,0,0,36L
U19471,0,1,5,0,06H
U19803,0,0,2,0,W2U3Z
U19808,0,2,0,0,01K
U19864,0,0,3,0,26A
U19923,0,0,4,0,11J
U20165,0,3,0,0,92A
U20256,0,6,0,0,00N
U20290,0,3,2,0,A3A8R
U20320,0,9,0,0,D4U1Y
U20349,0,5,0,0,01X
U20350,0,2,6,0,03N
U20410,0,3,0,0,92A
U20454,0,3,0,0,D2P2L
U20639,0,5,0,0,06N
U20640,0,0,3,0,06H
U20827,0,4,0,0,10Q
U20871,0,5,0,0,D9Y0V
U20931,0,4,0,0,10Q
U21059,0,1,2,0,15N
U21078,0,0,3,0,42D
U21222,0,5,0,0,72Q
U21248,0,0,2,0,78H
U21268,0,5,0,0,A3A8R
U21317,0,1,2,0,97R
U21339,0,0,3,0,70F
U21359,0,7,0,0,18C
U21400,0,5,0,0,01A
U21465,0,0,1,0,11J
U21470,0,2,0,0,91Q
U21547,0,0,2,0,92G
U21617,0,1,0,0,15C
U21757,0,4,0,0,02G
U21926,0,3,3,0,02H
U21951,0,5,0,0,11X
U21965,0,3,0,0,91Q
U21972,0,3,0,0,D9Y0V
U22020,0,0,4,0,11M
U22092,0,2,0,0,D9Y0V
U22192,0,3,0,0,91Q
U22426,0,2,3,0,09D
U22471,0,11,0,0,15E
U22506,0,1,0,0,72Q
U23362,0,3,0,0,A3A8R
U23418,0,5,3,0,02H
U23535,0,2,1,0,92A
U23544,0,0,2,0,M1J4Y
U23546,0,4,0,0,72Q
U23620,0,1,0,0,10Q
U23710,0,0,4,0,11M
U23714,0,1,6,0,16C
U23742,0,2,2,0,07K
U23821,0,5,1,0,14Y
U23862,0,0,5,0,11M
U24247,0,0,3,0,D9Y0V
U24388,0,0,3,0,06H
U24481,0,8,0,0,91Q
U24558,0,0,8,0,70F
U24727,0,3,0,0,06N
U24740,0,0,10,0,W2U3Z
U24883,1,5,0,0,M2L0M
U24972,0,0,1,0,03N
U24977,0,0,4,0,00L
U24992,0,5,0,0,72Q
U24998,0,5,0,0,A3A8R
U25131,0,4,0,0,W2U3Z
U25219,0,0,4,0,03R
U25240,0,6,0,0,15E
U25251,0,0,5,0,11J
U25255,0,5,0,0,91Q
U25294,0,2,3,0,03W
U25405,0,1,0,0,D4U1Y
U25489,0,1,1,0,00L
U25520,0,4,0,0,01K
U25545,0,0,7,0,00L
U25572,0,0,4,0,92G
U25587,0,2,1,0,15E
U25656,0,11,0,0,12F
U25680,0,7,0,0,01H
U25707,0,5,0,0,11X
U25735,0,1,5,0,D2P2L
U25799,0,7,0,0,27D
U25882,0,0,11,0,15M
U26059,0,3,1,0,D9Y0V
U26254,0,2,0,0,M2L0M
U26345,0,8,0,0,M2L0M
U26379,0,3,0,0,14L
U26493,0,0,2,0,M1J4Y
U26715,0,3,0,0,D2P2L
U26743,0,5,0,0,91Q
U26744,0,5,0,0,A3A8R
U26788,0,5,0,0,02M
U26808,0,0,3,0,92G
U26844,0,3,0,0,D9Y0V
U26864,0,0,4,0,84H
U26878,0,0,2,0,06L
U26939,0,0,2,0,70F
U26996,0,0,3,0,03N
U26997,0,4,0,0,10Q
U27026,0,3,0,0,91Q
U27086,0,0,4,0,36J
U27128,0,0,6,0,M1J4Y
U27129,0,3,0,0,15E
U27139,0,4,0,0,93C
U27258,0,0,3,0,06L
U27349,0,0,3,0,16C
U27362,0,7,0,0,A3A8R
U27366,0,2,1,0,15E
U27515,0,0,4,0,11J
U27585,0,6,1,0,A3A8R
U27607,0,6,0,0,D2P2L
U27624,0,1,0,0,01K
U27664,0,5,0,0,91Q
U27924,0,0,7,0,99F
U27932,0,0,5,0,15N
U28163,0,0,3,0,03N
U28174,0,5,0,0,11X
U28178,0,0,6,0,M1J4Y
U28237,0,1,0,0,27D
U28255,0,5,3,0,78H
U28348,0,3,3,0,02Y
U28378,0,1,4,0,03N
U28405,0,8,0,0,15M
U28474,0,0,5,0,36J
U28765,0,0,6,0,07G
U28791,0,0,1,0,92G
U29000,0,2,3,0,02E
U29053,0,1,3,0,52R
U29197,0,2,0,0,15A
U29246,0,2,0,0,D9Y0V
U29424,0,7,0,0,A3A8R
U29575,0,11,0,0,B2M3M
U29677,0,3,6,0,09D
U29951,0,5,0,0,27D
U30079,0,8,0,0,93C
U30123,0,0,3,0,06H
U30170,0,11,0,0,02H
U30213,0,0,2,0,03W
U30256,0,5,0,0,B2M3M
U30335,0,0,6,0,99F
U30526,0,6,0,0,36L
U30563,0,4,0,0,D9Y0V
U30587,0,4,4,0,02X
U30913,0,1,3,0,02Y
U31094,0,6,0,0,27D
U31169,0,1,6,0,03N
U31228,0,1,11,0,15F
U31269,0,0,6,0,15F
U31305,0,2,0,0,D4U1Y
U31313,0,2,3,0,02E
U31390,0,0,2,0,06T
U31420,0,0,4,0,26A
U31504,0,6,0,0,01A
U31538,0,0,1,0,11M
U31548,0,0,7,0,D2P2L
U31619,0,0,6,0,84H
U31823,0,6,0,0,01A
U31847,0,0,5,0,03R
U31922,0,0,5,0,M1J4Y
U31970,0,0,2,0,11N
U32001,0,5,0,0,15C
U32116,0,0,2,0,D2P2L
U32323,0,0,5,0,52R
U32349,0,10,0,0,18C
U32354,0,0,2,0,70F
U32372,0,1,4,0,15N
U32760,0,0,6,0,11J
U32828,1,3,0,0,36L
U32831,0,7,0,0,01D
U32901,0,0,2,0,92G
U32995,0,1,0,0,91Q
U33024,0,6,0,0,36L
U33065,0,10,0,0,W2U3Z
U33192,0,3,5,0,04V
U33392,0,12,0,0,93C
U33451,0,0,4,0,70F
U33522,0,0,3,0,07H
U33566,0,6,0,0,92A
U33593,0,0,4,0,70F
U33609,0,0,11,0,W2U3Z
U33691,0,5,0,0,13T
U33832,0,0,4,0,71E
U33954,0,5,0,0,B2M3M
U33963,0,6,0,0,15C
U34072,0,0,5,0,07H
U34146,0,0,3,0,13T
U34184,0,3,0,0,D9Y0V
U34188,0,6,0,0,A3A8R
U34230,0,0,3,0,15N
U34235,0,3,0,0,91Q
U34388,0,1,4,0,15N
U34538,0,1,0,0,06N
U34632,0,5,0,0,00X
U34667,0,7,0,0,14L
U34742,0,0,4,0,02T
U34811,0,2,0,0,93C
U34816,0,6,0,0,00Q
U34826,0,0,4,0,11J
U35004,0,0,2,0,M1J4Y
U35438,0,4,0,0,93C
U35513,0,11,0,0,W2U3Z
U35724,0,6,0,0,05W
U35821,0,0,2,0,78H
U35939,0,3,0,0,01K
U35980,0,10,0,0,99A
U35987,0,1,3,0,04V
U36042,0,0,2,0,26A
U36134,0,5,1,0,05G
U36188,0,6,0,0,72Q
U36231,0,0,6,0,04C
U36299,0,3,0,0,06N
U36452,0,4,0,0,B2M3M
U36510,0,5,0,0,W2U3Z
U36512,0,4,0,0,05W
U36584,0,5,0,0,93C
U36651,0,0,4,0,78H
U36652,0,3,0,0,06N
U36687,0,6,0,0,93C
U36721,0,0,4,0,11N
U36746,0,3,3,0,02X
U36776,0,3,0,0,03H
U36779,0,3,0,0,72Q
U36780,0,0,3,0,03L
U36795,0,4,0,0,93C
U36809,0,0,3,0,92G
U36833,0,0,5,0,11M
U36842,0,3,2,0,97R
U37007,0,1,0,0,15A
U37037,0,1,0,0,70F
U37086,0,0,9,0,W2U3Z
U37262,0,4,0,0,36L
U37286,0,6,0,0,A3A8R
U37296,0,7,0,0,01J
U37297,0,5,0,0,15C
U37316,0,0,5,0,36J
U37339,0,6,0,0,91Q
U37341,0,0,1,0,97R
U37388,0,5,0,0,01W
U37411,0,0,3,0,03F
U37412,0,3,0,0,15N
U37593,0,0,4,0,84H
U37618,0,19,0,0,01T
U37826,0,8,0,0,00N
U38045,0,6,0,0,72Q
U38064,0,5,0,0,18C
U38066,0,0,3,0,92G
U38216,0,0,9,0,36J
U38221,0,3,5,0,X2C4Y
U38271,0,8,0,0,01Y
U38328,0,0,4,0,06K
U38486,0,0,1,0,84H
U38661,0,0,2,0,71E
U38731,0,0,8,0,11J
U38734,0,4,0,0,36L
U39025,0,0,3,0,07K
U39113,0,6,0,0,05G
U39263,0,6,0,0,72Q
U39345,0,1,0,0,03N
U39446,0,0,4,0,M1J4Y
U39686,0,6,0,0,93C
U39721,0,8,0,0,72Q
U39739,0,4,0,0,92A
U40100,0,6,0,0,A3A8R
U40115,0,0,1,0,15N
U40159,0,0,4,0,78H
U40164,0,4,0,0,D9Y0V
U40458,0,4,0,0,36L
U40502,0,0,3,0,16C
U40593,0,0,3,0,06L
U40722,0,2,0,0,91Q
U40951,0,2,2,0,15N
U41025,0,2,0,0,06N
U41041,0,4,0,0,72Q
U41523,0,2,3,0,11M
U41563,0,4,0,0,00Y
U41591,0,0,4,0,11N
U41693,0,0,2,0,71E
U41928,0,1,3,0,15E
U41930,0,4,0,0,13T
U42007,0,0,12,0,04V
U42142,0,3,3,0,06T
U42152,0,9,0,0,02H
U42154,0,5,0,0,36L
U42235,0,5,0,0,92A
U42276,0,0,6,0,W2U3Z
U42510,0,0,1,0,11J
U42598,0,6,0,0,36L
U42671,0,3,0,0,D4U1Y
U42807,0,6,0,0,27D
U42898,0,6,0,0,02A
U42972,0,4,0,0,97R
U43067,0,1,3,0,15F
U43072,0,1,0,0,91Q
U43084,0,0,5,0,03R
U43112,0,3,0,0,72Q
U43314,0,6,0,0,00P
U43524,0,1,0,0,13T
U43660,0,5,1,0,15E
U44012,0,3,0,0,36L
U44050,0,2,0,0,36L
U44365,0,7,0,0,15E
U44401,0,0,5,0,03K
U44537,0,0,4,0,15E
U44561,0,1,7,0,52R
U44623,0,4,0,0,91Q
U44671,0,3,0,0,15A
U44695,0,2,1,0,13T
U44713,0,0,2,0,92G
U45014,0,0,6,0,02E
U45015,0,1,0,0,15A
U45098,0,4,0,0,72Q
U45102,0,0,11,0,16C
U45156,0,4,7,0,D2P2L
